ID,number,author1,year,jourl,study,country,continent,longitude,latitude,climate.zone,MAT (℃),MAP (mm),BD (g/cm3),soil.texture,sand (%),silt(%),clay (%),soil.fertility,SOC (g/kg),TN,PH,pH,cover.crop.type,maincrop.type,cropland.type,tillage,fertilization .type,N.fertilization,fertilization.N,residue.management,soil layer,soil.particle.diameter,cc.duration,experimental.duration (yr),sampling.month,Yield.ck,Yield.csd,Yield.cn,Yield.t,Yield.tsd,Yield.tn,PH.ck,PH.csd,PH.cn,PH.t,PH.tsd,PH.tn,Soil moisture.ck,Soil moisture.csd,Soil moisture.cn,Soil moisture.t,Soil moisture.tsd,Soil moisture.tn,SOM.ck,SOM.csd,SOM.cn,SOM.t,SOM.tsd,SOM.tn,nitrate-N.ck,nitrate-N.csd,nitrate-N.cn,nitrate-N.t,nitrate-N.tsd,nitrate-N.tn,Ammonium-N.ck,Ammonium-N.csd,Ammonium-N.cn,Ammonium-N.t,Ammonium-N.tsd,Ammonium-N.tn,TN.ck,TN.csd,TN.cn,TN.t,TN.tsd,TN.tn,nifH.ck,nifH.csd,nifH.cn,nifH.t,nifH.tsd,nifH.tn,nirS.ck,nirS.csd,nirS.cn,nirS.t,nirS.tsd,nirS.tn,nirK.ck,nirK.csd,nirK.cn,nirK.t,nirK.tsd,nirK.tn,nosZ.ck,nosZ.csd,nosZ.cn,nosZ.t,nosZ.tsd,nosZ.tn,AOA.ck,AOA.csd,AOA.cn,AOA.t,AOA.tsd,AOA.tn,AOB.ck,AOB.csd,AOB.cn,AOB.t,AOB.tsd,AOB.tn,16S.ck,16S.csd,16S.cn,16S.t,16S.tsd,16S.tn,ID,study,rrYield,varYield,rrPH,varPH,rrSoil.moisture,varSoil.moisture,rrSOM,varSOM,rrAmmonium.N,varAmmonium.N,rrnitrate.N,varnitrate.N,rrTN,varTN,rrnifH,varnifH,rrnirK,varnirK,rrnirS,varnirS,rrnarG,varnarG,rrnosZ,varnosZ,rrAOA,varAOA,rrAOB,varAOB
1,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conservation,Inorganic,High,246,Incorporated,10,,<5yr,2,5,10960,809.3209259,3,8680,576.9180163,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,2.05181,0.10881,3,1.74093,0.10881,3,2.47602,0.661423674,3,2.45471,0.524221905,3,,,,,,,91.62920017,11.2795494,3,79.5018268,6.017190918,3,109.9174907,14.61265971,3,98.68174747,15.5495148,3,831.0167906,95.31311494,3,896.9319543,86.63255135,3,457.4319547,41.93093165,3,496.2278399,53.43612267,3,,,,,,,554.4296901,77.59240492,3,531.6311916,107.1212235,3,,,,,,,1,1,-0.233230753,0.003290145,0.014647068,0.000759862,,,,,-0.008643804,0.038988745,-0.164302877,0.002239565,,,-0.14197,0.006960666,0.07633,0.007494673,-0.10783,0.014167547,,,0.081407035,0.00666621,,,-0.04199,0.020062124
2,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conservation,Inorganic,High,246,Incorporated,10,,<5yr,2,6,10960,809.3209259,3,8680,576.9180163,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,2.05181,0.10881,3,1.74093,0.10881,3,3.37123,0.900562731,3,3.15808,0.674431894,3,,,,,,,108.284281,13.32978891,3,163.0325705,12.33931523,3,39.98642414,5.315878347,3,30.54130409,4.812465042,3,718.8192965,82.4446714,3,641.0452197,61.91705251,3,445.8577701,40.8699731,3,371.5145168,40.00641178,3,,,,,,,494.2443349,69.16946774,3,459.2248686,92.53168469,3,,,,,,,2,1,-0.233230753,0.003290145,0.014647068,0.000759862,,,,,-0.065313415,0.038988745,-0.164302877,0.002239565,,,0.40919,0.006960666,-0.11451,0.007494673,-0.26946,0.014167547,,,-0.18241206,0.00666621,,,-0.07349,0.020062124
3,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conservation,Inorganic,High,246,Incorporated,10,,<5yr,2,7,10960,809.3209259,3,8680,576.9180163,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,2.05181,0.10881,3,1.74093,0.10881,3,2.85968,0.76391146,3,2.78508,0.59477492,3,,,,,,,140.866129,17.34061258,3,103.8564856,7.860502419,3,124.7447937,16.58383219,3,20.52307781,3.23386959,3,833.1302563,95.55551797,3,607.6931092,58.69565048,3,501.4921427,45.96975035,3,409.762568,44.12513988,3,,,,,,,600.264265,84.00695119,3,380.1895712,76.60643822,3,,,,,,,3,1,-0.233230753,0.003290145,0.014647068,0.000759862,,,,,-0.026433132,0.038988745,-0.164302877,0.002239565,,,-0.3048,0.006960666,-0.31552,0.007494673,-1.80472,0.014167547,,,-0.20201005,0.00666621,,,-0.4567,0.020062124
4,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conservation,Inorganic,High,246,Incorporated,10,,<5yr,2,9,10960,809.3209259,3,8680,576.9180163,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,2.05181,0.10881,3,1.74093,0.10881,3,0.493783,0.131905141,3,0.017762,0.00379321,3,,,,,,,110.1078126,13.55426555,3,105.1649427,7.959534557,3,52.21814292,6.941988468,3,52.22754303,8.229616663,3,716.9886424,82.2347053,3,691.8990061,66.82890032,3,422.3053553,38.71101879,3,425.5005887,45.81988319,3,,,,,,,396.9220842,55.54922406,3,313.4124328,63.15115403,3,,,,,,,4,1,-0.233230753,0.003290145,0.014647068,0.000759862,,,,,-3.325034806,0.038988748,-0.164302877,0.002239565,,,-0.04593,0.006960666,-0.03562,0.007494673,0.00018,0.014167547,,,0.007537688,0.00666621,,,-0.23622,0.020062124
5,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conservation,Inorganic,High,246,Incorporated,10,,<5yr,2,10,10960,809.3209259,3,8680,576.9180163,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,2.05181,0.10881,3,1.74093,0.10881,3,0.301954,0.080661515,3,0.145648,0.031104233,3,,,,,,,96.74029337,11.90872469,3,121.2058088,9.173606712,3,70.62117297,9.388525538,3,100.2342554,15.79414711,3,672.8012725,77.16665384,3,691.8990061,66.82890032,3,401.8102248,36.83231331,3,443.8458808,47.7953896,3,,,,,,,378.8460795,53.01948819,3,372.9259968,75.1428616,3,,,,,,,5,1,-0.233230753,0.003290145,0.014647068,0.000759862,,,,,-0.729081936,0.038988744,-0.164302877,0.002239565,,,0.22546,0.006960666,0.02799,0.007494673,0.350180001,0.014167547,,,0.099497487,0.00666621,,,-0.01575,0.020062124
6,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conventional,Inorganic,High,246,Incorporated,10,,<5yr,2,5,11380,840.335049,3,8860,588.881754,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,1.74093,0.10881,3,1.74093,0.10881,3,2.27353,0.607332156,3,2.36945,0.506013987,3,,,,,,,97.55145672,12.00857885,3,119.1984797,9.021679602,3,155.994383,20.73821754,3,146.8203896,23.13483374,3,831.0167906,95.31311494,3,896.9319543,86.63255135,3,457.4319547,41.93093165,3,496.2278399,53.43612267,3,,,,,,,554.4296901,77.59240492,3,531.6311916,107.1212235,3,,,,,,,6,1,-0.250310664,0.003290145,0.014647068,0.000759862,,,,,0.041324171,0.038988745,0,0.002604256,,,0.20041,0.006960666,0.07633,0.007494673,-0.06061,0.014167547,,,0.081407035,0.00666621,,,-0.04199,0.020062124
7,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conventional,Inorganic,High,246,Incorporated,10,,<5yr,2,6,11380,840.335049,3,8860,588.881754,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,1.74093,0.10881,3,1.74093,0.10881,3,3.09414,0.826543181,3,3.31794,0.708571208,3,,,,,,,124.8009415,15.3629889,3,102.5632827,7.762624808,3,134.3663467,17.86294144,3,77.35304943,12.18870174,3,718.8192965,82.4446714,3,641.0452197,61.91705251,3,445.8577701,40.8699731,3,371.5145168,40.00641178,3,,,,,,,494.2443349,69.16946774,3,459.2248686,92.53168469,3,,,,,,,7,1,-0.250310664,0.003290145,0.014647068,0.000759862,,,,,0.069834108,0.038988745,0,0.002604256,,,-0.19624,0.006960666,-0.11451,0.007494673,-0.55219,0.014167547,,,-0.18241206,0.00666621,,,-0.07349,0.020062124
8,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conventional,Inorganic,High,246,Incorporated,10,,<5yr,2,7,11380,840.335049,3,8860,588.881754,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,1.74093,0.10881,3,1.74093,0.10881,3,2.72114,0.726903021,3,2.91297,0.622086798,3,,,,,,,148.1032995,18.23150786,3,160.3309313,12.13483844,3,131.65041,17.50187917,3,105.4165875,16.61073936,3,833.1302563,95.55551797,3,607.6931092,58.69565048,3,501.4921427,45.96975035,3,409.762568,44.12513988,3,,,,,,,600.264265,84.00695119,3,380.1895712,76.60643822,3,,,,,,,8,1,-0.250310664,0.003290145,0.014647068,0.000759862,,,,,0.068122269,0.038988745,0,0.002604256,,,0.07933,0.006960666,-0.31552,0.007494673,-0.22223,0.014167547,,,-0.20201005,0.00666621,,,-0.4567,0.020062124
9,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conventional,Inorganic,High,246,Incorporated,10,,<5yr,2,9,11380,840.335049,3,8860,588.881754,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,1.74093,0.10881,3,1.74093,0.10881,3,0.0035524,0.000948959,3,1.1119,0.237454663,3,,,,,,,110.1078126,13.55426555,3,112.90085,8.545035965,3,99.68248654,13.25199698,3,44.42933724,7.000835056,3,716.9886424,82.2347053,3,691.8990061,66.82890032,3,422.3053553,38.71101879,3,425.5005887,45.81988319,3,,,,,,,396.9220842,55.54922406,3,313.4124328,63.15115403,3,,,,,,,9,1,-0.250310664,0.003290145,0.014647068,0.000759862,,,,,5.746202111,0.038988745,0,0.002604256,,,0.02505,0.006960666,-0.03562,0.007494673,-0.80809,0.014167547,,,0.007537688,0.00666621,,,-0.23622,0.020062124
10,1,Gevan D. Behnke,2022,frontiers in agronomy,1,America,North America,-90.727,40.93,Cold,9.9,1204,1.43,Loam,40,43,17,High,17.07004,1.9087,Acid,6.2,Mixture,maize,Upland,Conventional,Inorganic,High,246,Incorporated,10,,<5yr,2,10,11380,840.335049,3,8860,588.881754,3,6.26912,0.21319,3,6.36162,0.2132,3,,,,,,,,,,,,,1.74093,0.10881,3,1.74093,0.10881,3,1.43517,0.383379542,3,1.07993,0.230627228,3,,,,,,,97.95909563,12.05875917,3,126.3745353,9.564807961,3,85.27659224,11.33684744,3,62.13876318,9.791350908,3,672.8012725,77.16665384,3,691.8990061,66.82890032,3,401.8102248,36.83231331,3,443.8458808,47.7953896,3,,,,,,,378.8460795,53.01948819,3,372.9259968,75.1428616,3,,,,,,,10,1,-0.250310664,0.003290145,0.014647068,0.000759862,,,,,-0.284387085,0.038988745,0,0.002604256,,,0.2547,0.006960666,0.02799,0.007494673,-0.31653,0.014167547,,,0.099497487,0.00666621,,,-0.01575,0.020062124
